title,keyword
Deep One Tuck Sweat Shorts [Grey],"편하다, 바지, 사이즈, 핏, 여름, 무릎, 반바지, 크다, 버뮤다, 팬츠"
바이오워싱 카펜터 버뮤다 데님 팬츠_라이트블루,"사이즈, 바지, 허리, 색감, 크다, 핏, 여름, 편하다, 팬츠, 버뮤다"
데미지 워시드 데님 팬츠-미디엄 블루(Cool Air),"바지, 핏, 사이즈, 크다, 허리, 여름, 편하다, 색감, 얇다, 통"
Wide Cargo Half Denim Pants - 5COL,"바지, 사이즈, 허리, 색감, 편하다, 여름, 핏, 귀엽다, 크다, 맞다"
Deep One Tuck Sweat Shorts [Black],"편하다, 핏, 바지, 여름, 사이즈, 두껍다, 반바지, 팬츠, 회색, 제로"
[쿨탠다드] 세미 와이드 히든 밴딩 슬랙스 [블랙],"시원하다, 여름, 얇다, 사이즈, 핏, 슬랙스, 편하다, 와이드, 바지, 맞다"
버뮤다 와이드 원턱 스웨트 쇼츠 [그레이],"편하다, 사이즈, 여름, 바지, 가격, 얇다, 핏, 운동, 버뮤다, 재질"
캣 브러쉬 워시드 버뮤다 데님 쇼츠 (SAND BLUE),"색감, 사이즈, 바지, 허리, 핏, 배송, 크다, 버뮤다, 편하다, 작다"
캣 브러쉬 워시드 버뮤다 데님 쇼츠 (NORMAL BLACK),"사이즈, 바지, 핏, 허리, 색감, 작다, 배송, 맞다, 워싱, 디자인"
Deep One Tuck Sweat Pants [Grey],"편하다, 바지, 핏, 크다, 사이즈, 팬츠, 허리, 통, 와이드, 트"
